names,År,FV_NetID,Ellev (el/varme),CO2 - El&Varme,Varme_Lev_til_net,Kul,Olie,Gas,Affald (fossil),Halm,Skovflis,Brænde,Træpiller,Træaffald,Affald (bio),"Biobrændsler
(bioolie)",Biogas,Overskudsvarme,Solvarme,El,CO2 - Varme,CO2 - El,andel kraftvarme,andel kedler,andel andet, kraftvarme - andel   Kul, kraftvarme - andel   Olie, kraftvarme - andel   Gas, kraftvarme - andel   Affald (fossil), kraftvarme - andel   Halm, kraftvarme - andel   Skovflis, kraftvarme - andel   Brænde, kraftvarme - andel   Træpiller, kraftvarme - andel   Træaffald, kraftvarme - andel   Affald (bio)," kraftvarme - andel   Biobrændsler
(bioolie)", kraftvarme - andel   Biogas, kedler - andel   Kul, kedler - andel   Olie, kedler - andel   Gas, kedler - andel   Affald (fossil), kedler - andel   Halm, kedler - andel   Skovflis, kedler - andel   Brænde, kedler - andel   Træpiller, kedler - andel   Træaffald, kedler - andel   Affald (bio)," kedler - andel   Biobrændsler
(bioolie)", kedler - andel   Biogas,Andet - andel overskudsvarme,Andet - andel solvarme,Andet - andel varmepumper og elkedler,forsyid
Løsning Fjernvarme,2022,147,0.0,0.8351448153156961,85183.2,0.0,0.0,0.0146799932381032,0.0,0.0,0.4839792353421802,0,0.0,0.0,0.0,0.0,0.0,0.4070286159712243,0.0,0.0,0.8351448153156961,0.0,0.0,0.5929760797903812,0.4070239202096187,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0164635450074834,0.0,0.0,0.9835364549925164,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41524111
Manna-Tiese Fjernvarme,2020,374,0.0463915876587712,7.495271302803758,13502.448,0.0,0.0,0.131750242622671,0.0,0.0,0.0,0,1.131461494982243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92179570104621,4.573475601757547,0.0560069862298853,0.9439930137701148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0282039711191335,0.0,0.0,0.0,0,0.9717960288808664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17737147
Manna-Tiese Fjernvarme,2021,374,0.0379997323289295,5.9069751830678925,15063.264,0.0,0.0,0.1038315201804867,0.0,0.0,0.0,0,1.1222667278486258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335293004225379,3.5716821788425133,0.0454294420110455,0.9545705579889544,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0178954403535197,0.0,0.0,0.0,0,0.9821045596464802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17737147
Manna-Tiese Fjernvarme,2022,374,0.0557397390410826,9.626651844743016,14854.752,0.0,0.0,0.1692151844743015,0.0,0.0,0.0,0,1.0084315106707942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.582068664088098,6.044583180654918,0.0810272107203971,0.9189727892796028,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0226100275117954,0.0,0.0,0.0,0,0.9773899724882044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17737147
Mariager Fjernvarme,2020,210,0.0,0.0,134164.80000000002,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9544194900599858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57871628
Mariager Fjernvarme,2021,210,0.0,0.0276836957880264,144018.0,0.0,0.0003735991334416,0.0,0.0,0.0,0.0,0,0.0,0.9278840144981878,0.0,0.0,0.0,0.0,0.0,0.0,0.0276836957880264,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0002249718785151,0.0,0.0,0.0,0.0,0,0.0,0.9997750281214848,0.0,0.0,0.0,0.0,0.0,0.0,57871628
Mariager Fjernvarme,2022,210,0.0,0.0,131749.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9238234463662776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57871628
Maribo Fjernvarme,2020,48,0.2554691313828229,0.0711436258881982,553086.0,0.0,0.0009601029134709,0.0,0.0,0.9491435328321454,0.1415277190165724,0,0.0098700744549672,0.297505270428107,0.0,0.0,0.0,0.0,0.0,0.0,0.0426519287090782,0.0284916971791199,0.8501462702002943,0.1498537297997056,0.0,0.0,0.00046767517096,0.0,0.0,0.760999921940414,0.0,0,0.0,0.238532402888626,0.0,0,0.0,0.0,0.0004584831447117,0.0,0.0,0.0,0.944439082068483,0,0.0551024347868053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11135617
Maribo Fjernvarme,2021,48,0.1837506091863726,1.2844605875644228,570022.6,0.0,0.0173341509792769,0.0,0.0,0.6134528701142726,0.1635429893481416,0,0.415647204163484,0.1581709216441593,0.0,0.0,0.0,0.0,0.0,0.0,1.2514146152654289,0.0330459722989938,0.4117327979627475,0.5882672020372526,0.0,0.0,0.0007874147883108,0.0,0.0,0.7943894872079217,0.0,0,0.0,0.2048230980037674,0.0,0,0.0,0.0,0.0175423528653941,0.0,0.0,0.0,0.3417967491894445,0,0.6406608979451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11135617
Maribo Fjernvarme,2022,48,0.2806721415467127,0.0518778217627704,523623.0399999999,0.0,0.0007001055568525,0.0,0.0,0.8797368809439707,0.2718478545176316,0,0.1824451804107015,0.2556218687397713,0.0,0.0,0.0,0.0,0.0,0.0,0.0240996472072081,0.0277781745555622,0.4957650450217012,0.504234954978299,0.0,0.0,0.0004221766117318,0.0,0.0,0.7745265334444363,0.0,0,0.0,0.2250512899438317,0.0,0,0.0,0.0,0.0003326906767528,0.0,0.0,0.0,0.6646587057241885,0,0.3350086035990586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11135617
Marstal Fjernvarme,2020,80,0.0663268195978476,0.0,127116.0,0.0,0.0,0.0,0.0,0.0,0.5703672236382517,0,0.0,0.0,0.0,0.0741433021806853,0.0,0.0,0.3999716794109317,0.0024638912489379,0.0,0.0,0.5235627301047863,0.0678561314075332,0.4085811384876804,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.978928398142372,0.021071601857628,31220319
Marstal Fjernvarme,2021,80,0.0686905076810617,0.0,126568.44,0.0,0.0,0.0,0.0,0.0,0.5797374914315133,0,0.0,0.0,0.0,0.0786451978076051,0.0,0.0,0.3626382690661274,0.0118437961311682,0.0,0.0,0.5451491698878489,0.0729565759047042,0.3818942542074469,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.9495777039607944,0.0504222960392057,31220319
Marstal Fjernvarme,2022,80,0.0382577144984289,0.0,129880.252,0.0,0.0,0.0,0.0,0.0,0.4232462745760609,0,0.0,0.0,0.0,0.0601920606067194,0.0,0.0,0.4366749919764553,0.0252495660387231,0.0,0.0,0.4194399314839641,0.0481535868901763,0.5324064816258596,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.887952827462705,0.1120471725372949,31220319
Mejlby Fjernvarme,2020,214,0.0061146496815286,61.89517495286624,14130.0,0.0,0.0,1.087979872611465,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0545364254777,0.8406385273885348,0.0086624203821656,0.9913375796178344,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29189668
Mejlby Fjernvarme,2021,214,0.0984298101710803,68.34764866651042,15361.2,0.0,0.0,1.2014000468713382,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.718570044527766,11.62907862198266,0.1434262948207171,0.8565737051792828,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29189668
Mejlby Fjernvarme,2022,214,0.0016405011079892,27.83858950756323,15361.16,0.0,0.0,0.4893406487530889,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1731900455434355,27.647266886094545,0.1913226214686911,0.0023670087415273,0.450877407695773,0.5467555835626997,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29189668
Mellerup Fjernvarme,2020,216,0.0,0.0,17208.0,0.0,0.0,0.0,0.0,1.0954207345420737,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16256234
Mellerup Fjernvarme,2021,216,0.0,4.302161122448979,23284.8,0.0,0.0,0.0756224489795918,0.0,0.9621083281797568,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.302161122448979,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0756029684601113,0.0,0.9243970315398886,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16256234
Mellerup Fjernvarme,2022,216,0.0,0.2429123474258438,21117.6,0.0,0.0,0.0042698602113876,0.0,1.0697711861196348,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2429123474258438,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0041295011562603,0.0,0.9958704988437396,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16256234
Menstrup,2020,422,0.028780487804878,68.03619406341464,7380.0,0.0,0.0,1.1959253658536586,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.38110869268293,3.655085370731708,0.0380487804878048,0.9619512195121952,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
